word size,number
0,0
4,0
8,0
12,0
16,0
20,0
24,0
28,0
32,0
36,0
40,0
44,0
48,0
52,0
56,0
60,341
64,47
68,109
72,51
76,29
80,18
84,16
88,9
92,15
96,2
100,15
104,3
108,4
112,9
116,4
120,2
124,14
128,0
132,4
136,7
140,2
144,2
148,4
152,2
156,3
160,1
164,0
168,0
172,0
176,2
180,1
184,0
188,1
192,0
196,1
200,1
204,0
208,0
212,0
216,0
220,0
224,0
228,0
232,0
236,0
240,0
244,0
248,1
252,0
256,0
260,0
264,0
268,0
272,0
276,0
280,0
284,0
